folderName,imgName,runTime_cpp,runTime_matlab,left_window_start,left_pos1,left_pos2,left_border_label,left_num,left_len,right_window_start,right_pos1,right_pos2,right_border_label,right_num,right_len,metric_RMSE,metric_RMSE_polyfit,scale,angle_expect,angle_tolerance,windowWidth,windowStepSize,decision_criter,prior_excluded_middle_percent,is_labeled
2022-04-28_13-09-34,10999152000.png,0.2287181,0.0352869,703,717,768,717,4,546,2149,2166,2140,2163,8,574,3,74.19482,0.8,90,6,32,1,len*num,0.3125,1
2022-04-28_13-09-34,11016864000.png,0.238568,0.036815,701,719,764,727,4,546,2151,2181,2115,2163,7,550,19.69772,89.11901,0.8,90,6,32,1,len*num,0.3125,1
2022-04-28_13-09-34,11193984000.png,0.2385442,0.0320532,703,718,766,720,4,558,2148,2159,2158,2164,13,650,5.385165,53.85371,0.8,90,6,32,1,len*num,0.3125,1
2022-04-28_13-09-34,11317968000.png,0.2325045,0.0407255,703,730,744,720,6,574,2150,2176,2121,2162,7,579,17.20465,69.32436,0.8,90,6,32,1,len*num,0.3125,1
2022-04-28_13-09-34,13160016000.png,0.2601865,0.0303725,701,716,760,715,11,861,2128,2150,2170,2170,14,1166,1,65.01111,0.8,90,6,32,1,len*num,0.3125,1
2022-04-28_13-09-34,1363824000.png,0.1853176,0.030872,683,729,680,688,1,8,2124,2125,2136,2134,5,38,8.246211,50.99274,0.8,90,6,32,1,len*num,0.3125,1
2022-04-28_13-09-34,15427152000.png,0.2948095,0.0291138,709,720,751,711,20,1361,2148,2156,2172,2175,26,978,9.486833,60.23538,0.8,90,6,32,1,len*num,0.3125,1
2022-04-28_13-09-34,16737840000.png,0.3339241,0.0296767,711,716,749,713,19,1458,2144,2153,2168,2176,29,1303,8.544003,60.47637,0.8,90,6,32,1,len*num,0.3125,1
2022-04-28_13-09-34,16879536000.png,0.349791,0.0310247,710,713,754,721,24,1489,2150,2166,2172,2175,32,1555,8.544003,43.44268,0.8,90,6,32,1,len*num,0.3125,1
2022-04-28_13-09-34,19288368000.png,0.3445555,0.0299032,700,714,730,696,33,1118,2135,2152,2171,2180,40,1605,20.12461,67.88165,0.8,90,6,32,1,len*num,0.3125,1
2022-04-28_13-09-34,19837440000.png,0.3606221,0.0299412,715,716,754,717,28,1451,2143,2154,2169,2181,45,1759,12.04159,66.56009,0.8,90,6,32,1,len*num,0.3125,1
2022-04-28_13-09-34,20014560000.png,0.3412565,0.0302361,715,717,754,716,28,1473,2149,2159,2163,2177,38,1695,14.03567,60.81667,0.8,90,6,32,1,len*num,0.3125,1
2022-04-28_13-09-34,20351088000.png,0.3762292,0.0314865,718,717,756,708,29,1499,2143,2155,2177,2180,44,1735,9.486833,74.01582,0.8,90,6,32,1,len*num,0.3125,1
